topology,phase,version,host,step,value,unit
standalone_same,setup,before,104,bridge_attach,1.3098933469909753,mean step latency ms per endpoint
standalone_same,setup,after,103,bridge_attach,8.718627845015362,mean step latency ms per endpoint
standalone_same,setup,after,104,bridge_attach,9.080682475014328,mean step latency ms per endpoint
standalone_same,setup,before,103,stale_cross_host_cleanup,71.91133870301655,mean step latency ms per endpoint
standalone_same,setup,before,104,stale_cross_host_cleanup,70.98152886301705,mean step latency ms per endpoint
standalone_same,setup,after,103,stale_cross_host_cleanup,0.0,mean step latency ms per endpoint
standalone_same,setup,after,104,stale_cross_host_cleanup,0.0,mean step latency ms per endpoint
standalone_same,setup,before,103,transport_veth,0.8383062919883741,mean step latency ms per endpoint
standalone_same,setup,before,104,transport_veth,0.7880844240016813,mean step latency ms per endpoint
standalone_same,setup,after,103,transport_veth,6.006543061979755,mean step latency ms per endpoint
standalone_same,setup,after,104,transport_veth,6.06983936198958,mean step latency ms per endpoint
standalone_same,setup,before,103,crypto_install,74.62438165398362,mean step latency ms per endpoint
standalone_same,setup,before,104,crypto_install,77.58751757198297,mean step latency ms per endpoint
standalone_same,setup,after,103,crypto_install,28.810768029992687,mean step latency ms per endpoint
standalone_same,setup,after,104,crypto_install,26.566806505035856,mean step latency ms per endpoint
standalone_same,setup,before,103,crypto_attach,0.5688422070170418,mean step latency ms per endpoint
standalone_same,setup,before,104,crypto_attach,0.5716059190035594,mean step latency ms per endpoint
standalone_same,setup,after,103,crypto_attach,3.8981932749939006,mean step latency ms per endpoint
standalone_same,setup,after,104,crypto_attach,3.868423358995642,mean step latency ms per endpoint
standalone_same,setup,before,103,ip_forward,72.39206601799833,mean step latency ms per endpoint
standalone_same,setup,before,104,ip_forward,73.98789360697992,mean step latency ms per endpoint
standalone_same,setup,after,103,ip_forward,0.0,mean step latency ms per endpoint
standalone_same,setup,after,104,ip_forward,0.0,mean step latency ms per endpoint
standalone_same,setup,before,103,forward_policy,190.9594032540017,mean step latency ms per endpoint
standalone_same,setup,before,104,forward_policy,191.41601103700032,mean step latency ms per endpoint
standalone_same,setup,after,103,forward_policy,0.0,mean step latency ms per endpoint
standalone_same,setup,after,104,forward_policy,0.0,mean step latency ms per endpoint
standalone_same,teardown,before,103,crypto_remove,0.2422604280000087,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,crypto_remove,0.2182822650001981,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,crypto_remove,0.015825425000002724,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,crypto_remove,0.016641112999423058,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,103,link_dump,0.04512092400000256,phase wall seconds per 1000 endpoints
standalone_same,teardown,before,104,link_dump,0.04227208699921903,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,103,link_dump,0.051879800001188414,phase wall seconds per 1000 endpoints
standalone_same,teardown,after,104,link_dump,0.04350687499936612,phase wall seconds per 1000 endpoints
